!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T084946ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 27.064712 GHz
!  Stop: 40.0 GHz
!  Step: FREQLIST GHz
!  Points: 29
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-20.0dBm
27.064712,-24.37,-24.36,19.08095,-43.45,-43.45,1.32,1.32
27.628446,-23.88,-23.88,19.00572,-42.89,-42.89,1.44,1.44
28.000000,-23.29,-23.29,19.03009,-42.32,-42.32,1.56,1.56
28.500000,-23.32,-23.32,19.09020,-42.41,-42.41,1.57,1.57
29.121741,-23.76,-23.76,19.30207,-43.07,-43.06,1.48,1.48
29.657029,-23.44,-23.44,19.50541,-42.94,-42.94,1.53,1.53
30.000000,-24.12,-24.12,19.52998,-43.65,-43.65,1.43,1.43
30.500000,-24.11,-24.11,19.51129,-43.62,-43.62,1.46,1.46
31.000000,-24.71,-24.70,19.28990,-44.00,-43.99,1.42,1.42
31.392694,-24.41,-24.41,19.31741,-43.73,-43.73,1.48,1.48
31.889133,-25.56,-25.56,19.49995,-45.06,-45.06,1.29,1.29
32.500000,-27.52,-27.52,19.71809,-47.23,-47.23,1.03,1.03
33.000000,-26.42,-26.42,19.76418,-46.18,-46.18,1.18,1.18
33.500000,-26.54,-26.54,19.91022,-46.45,-46.45,1.16,1.16
33.906128,-26.30,-26.30,20.07389,-46.37,-46.37,1.18,1.18
34.350931,-26.80,-26.80,20.30938,-47.11,-47.11,1.10,1.10
35.000000,-26.78,-26.78,20.59567,-47.37,-47.37,1.09,1.09
35.500000,-27.48,-27.48,20.80672,-48.29,-48.29,0.99,0.99
36.000000,-26.40,-26.39,20.76061,-47.16,-47.15,1.15,1.15
36.500000,-27.02,-27.02,20.72013,-47.74,-47.74,1.09,1.09
36.695304,-27.91,-27.91,20.76471,-48.67,-48.67,0.98,0.98
37.072739,-27.05,-27.05,20.93750,-47.99,-47.99,1.07,1.07
37.500000,-28.43,-28.42,21.17842,-49.60,-49.60,0.90,0.90
38.000000,-28.25,-28.25,21.43463,-49.69,-49.68,0.90,0.90
38.500000,-29.48,-29.49,21.57824,-51.06,-51.06,0.78,0.78
39.000000,-30.50,-30.50,21.59140,-52.09,-52.09,0.70,0.70
39.500000,-32.43,-32.43,21.76028,-54.19,-54.19,0.56,0.56
39.799112,-33.67,-33.67,21.83663,-55.51,-55.50,0.48,0.48
40.000000,-33.97,-33.97,21.89330,-55.86,-55.86,0.47,0.47
!EndOfData: 2025-07-22T08:50:02Z
!Notes: The calibration file for actual calibrated output
!MD5: a536338c3c5143ae080bb04d68904874
