!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T120924ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:未知
!  Spectrum_Analyzer: NRP50S_SN:未知
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 11.941833 GHz
!  Step: NONE GHz
!  Points: 19
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 参考功率: -30.0dBm (频点列表模式)
8.000000,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.309071,11.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.348568,10.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.728139,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.750349,9.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.753542,9.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.175874,8.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.185137,8.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.645575,7.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.654768,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.113841,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.137307,5.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.167581,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.663038,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.717369,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.225756,4.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.307529,4.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.828772,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.941833,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
