!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T123733ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:未知
!  Spectrum_Analyzer: NRP50S_SN:未知
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: NONE GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 参考功率: -30.0dBm (频点列表模式)
18.042799,-2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.645848,-1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.233068,-1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.500000,-2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.839727,-1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.000000,-2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.530405,-2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.137731,-2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.500000,-3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.947126,-3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.551463,-3.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.000000,-4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.497291,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.094111,-4.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.500000,-4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.000000,-5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.196992,-5.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.780710,-6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.000000,-5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.500000,-5.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
