!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T121132ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:未知
!  Spectrum_Analyzer: NRP50S_SN:未知
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 12.47576 GHz
!  Stop: 17.545861 GHz
!  Step: NONE GHz
!  Points: 13
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 参考功率: -30.0dBm (频点列表模式)
12.475760,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.624490,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.170800,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.360197,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.918437,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.154209,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.723743,-0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.012421,-2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.592385,-4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.941456,-4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.530715,-2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.948774,-2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.545861,-1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
