!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T080548ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: FREQLIST GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-10.0dBm
18.042799,-10.44,-10.43,16.76833,-27.21,-27.20,5.71,5.71
18.645848,-9.90,-9.90,17.26058,-27.17,-27.16,5.93,5.93
19.233068,-8.80,-8.80,17.46746,-26.27,-26.27,6.78,6.78
19.500000,-9.73,-9.73,17.35469,-27.09,-27.08,6.26,6.26
19.839727,-10.33,-10.33,17.27056,-27.60,-27.60,6.00,6.00
20.000000,-10.64,-10.64,17.28432,-27.92,-27.92,5.83,5.83
20.530405,-10.86,-10.86,17.60462,-28.47,-28.46,5.62,5.62
21.137731,-11.51,-11.51,18.04012,-29.55,-29.55,5.11,5.11
21.500000,-12.13,-12.13,18.23102,-30.36,-30.36,4.73,4.73
21.947126,-11.73,-11.73,18.30437,-30.04,-30.03,5.01,5.02
22.551463,-11.73,-11.73,18.48819,-30.22,-30.22,5.04,5.05
23.000000,-12.64,-12.63,18.61985,-31.26,-31.25,4.57,4.57
23.497291,-13.60,-13.59,18.73046,-32.33,-32.32,4.12,4.13
24.094111,-13.37,-13.36,19.08138,-32.45,-32.44,4.17,4.17
24.500000,-12.91,-12.90,19.23796,-32.15,-32.14,4.39,4.39
25.000000,-13.87,-13.87,19.11632,-32.99,-32.99,4.07,4.06
25.196992,-14.79,-14.78,19.06339,-33.85,-33.85,3.71,3.71
25.780710,-14.50,-14.49,19.09141,-33.59,-33.58,3.91,3.92
26.000000,-13.75,-13.75,19.16623,-32.92,-32.91,4.26,4.27
26.500000,-14.72,-14.72,19.29307,-34.02,-34.02,3.83,3.83
!EndOfData: 2025-07-22T08:05:55Z
!Notes: The calibration file for actual calibrated output
!MD5: 483289fa322a16d2c5fdde117c294cc5
